condenser,chip,coolant_setpoint_C,q_Wcm2,Q_W,Tsurf_C,Tsat_C,Tliq_C,Tin_C,Tout_C,P_kPa,flow
33-tube,plain,20,6.7373,74.3795,37.7636,49.0,23.3245,19.1389,19.3756,88.0,0.06
33-tube,plain,20,8.8712,97.9379,40.1231,49.0,23.7948,19.2162,19.5389,88.0,0.06
33-tube,plain,20,8.9144,98.4154,39.9588,49.0,24.0772,19.1959,19.54,88.0,0.06
33-tube,plain,20,12.0722,133.2769,41.5661,49.0,23.9693,19.2366,19.7117,88.0,0.06
33-tube,plain,20,14.9143,164.6541,43.9933,49.0,24.2784,19.2635,19.8457,88.0,0.06
33-tube,plain,20,18.6349,205.7289,45.3703,49.0,25.1482,19.3116,20.0385,88.0,0.06
33-tube,plain,20,22.7975,251.6844,47.424,49.0,25.1237,19.3525,20.2392,88.0,0.06
33-tube,plain,20,26.4556,292.0693,50.6836,54.0,25.6647,18.7874,19.8358,85.0,0.06
33-tube,plain,20,27.0806,298.9695,50.3008,54.0,25.5197,18.8307,19.8886,85.0,0.06
33-tube,plain,20,31.797,351.0385,53.6889,54.0,26.5325,18.8443,20.0452,85.0,0.06
33-tube,plain,20,36.981,408.2706,57.3654,54.0,27.4561,19.0544,20.4332,85.0,0.06
33-tube,plain,20,37.0829,409.3953,57.2127,54.0,27.4337,19.0206,20.4153,85.0,0.06
33-tube,plain,20,42.0715,464.4697,61.198,54.0,28.9309,19.3218,20.8752,85.0,0.06
33-tube,plain,20,48.7426,538.1183,63.1691,54.0,29.8003,18.6662,20.4554,85.0,0.06
33-tube,plain,20,54.6358,603.1793,66.5625,58.0,31.0327,18.9874,20.9725,81.0,0.06
33-tube,plain,20,60.9464,672.8478,69.2839,58.0,32.1111,18.9696,21.2128,81.0,0.06
33-tube,plain,20,68.4839,756.0621,71.4506,58.0,33.6849,19.1485,21.6096,81.0,0.06
33-tube,plain,20,76.5593,845.215,73.9114,58.0,35.083,19.7583,22.5037,81.0,0.06
33-tube,plain,20,83.8752,925.9823,76.4771,58.0,36.5456,20.4265,23.3991,81.0,0.06
33-tube,plain,20,90.6321,1000.5779,79.6838,58.0,39.2117,21.4518,24.6743,81.0,0.06
33-tube,plain,20,99.3147,1096.434,82.6002,58.0,40.5329,22.6271,26.1789,81.0,0.06
33-tube,plain,20,108.417,1196.924,86.0717,58.0,43.2929,25.1316,28.9316,81.0,0.06
33-tube,plain,20,111.1597,1227.203,88.1334,58.0,45.1268,25.2622,29.3393,81.0,0.06
33-tube,plain,30,5.6264,62.1159,40.456,49.0,29.3245,28.9153,29.1266,88.0,0.06
33-tube,plain,30,7.7212,85.2421,43.5356,49.0,29.7948,28.9459,29.242,88.0,0.06
33-tube,plain,30,10.1842,112.4341,45.7005,49.0,30.0772,28.9974,29.3901,88.0,0.06
33-tube,plain,30,13.0024,143.5462,48.3132,49.0,29.9693,28.9829,29.485,88.0,0.06
33-tube,plain,30,16.2356,179.2414,50.8498,54.0,30.2784,29.0267,29.6537,85.0,0.06
33-tube,plain,30,20.1352,222.2925,53.1784,54.0,31.1482,28.9997,29.7855,85.0,0.06
33-tube,plain,30,24.2154,267.3375,55.7965,54.0,31.1237,29.0385,30.0062,85.0,0.06
33-tube,plain,30,29.12,321.4844,58.792,54.0,31.5197,28.879,30.0125,85.0,0.06
33-tube,plain,30,34.3647,379.3864,61.7597,54.0,31.6647,29.08,30.4093,85.0,0.06
33-tube,plain,30,39.7213,438.5235,64.9454,54.0,32.5325,29.1121,30.6354,85.0,0.06
33-tube,plain,30,45.8626,506.3235,67.4362,54.0,33.4337,29.3081,31.0362,85.0,0.06
33-tube,plain,30,51.6277,569.9694,70.1511,54.0,33.4561,29.3197,31.2502,85.0,0.06
33-tube,plain,30,57.4334,634.0651,73.4297,54.0,34.9309,28.5806,30.7576,85.0,0.06
33-tube,plain,30,65.9519,728.1095,76.606,54.0,35.8003,28.359,30.8395,85.0,0.06
